type, hp, atk, lag, posx, posy
0 45 10 300 7 33
0 45 10 300 9 35
0 45 10 300 31 29
1 30 20 400 30 32
1 30 20 400 21 39
1 30 20 400 16 37
1 30 20 400 48 37
2 50 15 450 34 17
2 50 15 450 34 14
1 30 20 400 37 14
1 30 20 400 31 11
2 50 15 450 8 10
2 50 15 450 7 7
2 50 15 450 13 6
2 50 15 450 32 3
2 50 15 450 36 3
3 60 20 600 52 10
3 60 20 600 53 15
3 60 20 600 74 13
3 60 20 600 77 9
3 60 20 600 73 6
3 60 20 600 87 9
3 60 20 600 88 5
0 45 10 300 63 34
0 45 10 300 67 35
1 30 20 400 65 32
1 30 20 400 63 32
2 50 15 450 71 33
2 50 15 450 73 35
3 60 20 600 82 38
3 60 20 600 86 36
3 60 20 600 95 31
3 60 20 600 93 27
3 60 20 600 94 17
3 60 20 600 96 18
3 60 20 600 93 19
